dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 4096
codebook_dim: 16
project_dim: 8
pq: 1
L: 4
chunks: 2
alpha: 1.0
beta: 1.0
gamma: 0.5
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: fsq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Refinement/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Refinement/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Refinement/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Refinement/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Refinement/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-fsq_transplant_ImageNet_model_8_2_4_loss_1.0_0.4.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_8_2_4
loss_pre: loss_1.0_0.4
training_pre: fsq_refinement
saver_name_pre: fsq_refinement_ImageNet_model_8_2_4_loss_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/VQ-Transplant/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/5] Iters:[10/20018] gen_loss 1.3524, rec_loss 0.0284, lpips_loss 0.2275, g_loss 0.2033, disc_weight 0.4000, disc_adaptive_weight 4.8135, d_loss 2.4849, logits_real -0.1200, logits_fake -0.1994,
Train Epoch: [4/5] Iters:[13400/20018] gen_loss 0.2976, rec_loss 0.0362, lpips_loss 0.2169, g_loss 0.0095, disc_weight 0.4000, disc_adaptive_weight 4.6401, d_loss 0.4001, logits_real -0.0091, logits_fake -0.0095,
Train Epoch: [4/5] Iters:[13410/20018] gen_loss 0.2937, rec_loss 0.0353, lpips_loss 0.2158, g_loss 0.0095, disc_weight 0.4000, disc_adaptive_weight 4.4738, d_loss 0.4001, logits_real -0.0088, logits_fake -0.0094,
Train Epoch: [4/5] Iters:[13420/20018] gen_loss 0.2933, rec_loss 0.0349, lpips_loss 0.2155, g_loss 0.0094, disc_weight 0.4000, disc_adaptive_weight 4.5454, d_loss 0.4000, logits_real -0.0087, logits_fake -0.0093,
Train Epoch: [4/5] Iters:[13430/20018] gen_loss 0.2942, rec_loss 0.0341, lpips_loss 0.2149, g_loss 0.0096, disc_weight 0.4000, disc_adaptive_weight 4.7097, d_loss 0.4001, logits_real -0.0090, logits_fake -0.0094,
Train Epoch: [4/5] Iters:[13440/20018] gen_loss 0.2944, rec_loss 0.0341, lpips_loss 0.2147, g_loss 0.0094, disc_weight 0.4000, disc_adaptive_weight 4.8432, d_loss 0.4001, logits_real -0.0091, logits_fake -0.0094,
Train Epoch: [4/5] Iters:[13450/20018] gen_loss 0.2926, rec_loss 0.0333, lpips_loss 0.2132, g_loss 0.0095, disc_weight 0.4000, disc_adaptive_weight 4.8577, d_loss 0.4001, logits_real -0.0091, logits_fake -0.0095,
Train Epoch: [4/5] Iters:[13460/20018] gen_loss 0.2936, rec_loss 0.0340, lpips_loss 0.2135, g_loss 0.0091, disc_weight 0.4000, disc_adaptive_weight 5.0450, d_loss 0.4002, logits_real -0.0090, logits_fake -0.0091,
Train Epoch: [4/5] Iters:[13470/20018] gen_loss 0.2916, rec_loss 0.0339, lpips_loss 0.2125, g_loss 0.0087, disc_weight 0.4000, disc_adaptive_weight 5.1407, d_loss 0.4002, logits_real -0.0087, logits_fake -0.0088,
Train Epoch: [4/5] Iters:[13480/20018] gen_loss 0.2862, rec_loss 0.0341, lpips_loss 0.2118, g_loss 0.0081, disc_weight 0.4000, disc_adaptive_weight 4.9430, d_loss 0.4001, logits_real -0.0080, logits_fake -0.0083,
Train Epoch: [4/5] Iters:[13490/20018] gen_loss 0.2845, rec_loss 0.0340, lpips_loss 0.2118, g_loss 0.0078, disc_weight 0.4000, disc_adaptive_weight 4.9137, d_loss 0.4001, logits_real -0.0075, logits_fake -0.0079,
Train Epoch: [4/5] Iters:[13500/20018] gen_loss 0.2811, rec_loss 0.0341, lpips_loss 0.2106, g_loss 0.0076, disc_weight 0.4000, disc_adaptive_weight 4.7983, d_loss 0.4001, logits_real -0.0073, logits_fake -0.0078,
Train Epoch: [4/5] Iters:[13510/20018] gen_loss 0.2814, rec_loss 0.0338, lpips_loss 0.2107, g_loss 0.0077, disc_weight 0.4000, disc_adaptive_weight 4.7599, d_loss 0.4001, logits_real -0.0074, logits_fake -0.0079,
Train Epoch: [4/5] Iters:[13520/20018] gen_loss 0.2817, rec_loss 0.0340, lpips_loss 0.2114, g_loss 0.0077, disc_weight 0.4000, disc_adaptive_weight 4.7266, d_loss 0.4001, logits_real -0.0072, logits_fake -0.0076,
Train Epoch: [4/5] Iters:[13530/20018] gen_loss 0.2818, rec_loss 0.0336, lpips_loss 0.2107, g_loss 0.0078, disc_weight 0.4000, disc_adaptive_weight 4.7703, d_loss 0.4001, logits_real -0.0073, logits_fake -0.0078,
Train Epoch: [4/5] Iters:[13540/20018] gen_loss 0.2811, rec_loss 0.0340, lpips_loss 0.2103, g_loss 0.0078, disc_weight 0.4000, disc_adaptive_weight 4.7139, d_loss 0.4001, logits_real -0.0074, logits_fake -0.0079,
Train Epoch: [4/5] Iters:[13550/20018] gen_loss 0.2834, rec_loss 0.0346, lpips_loss 0.2106, g_loss 0.0077, disc_weight 0.4000, disc_adaptive_weight 4.8955, d_loss 0.4001, logits_real -0.0073, logits_fake -0.0079,
Train Epoch: [4/5] Iters:[13560/20018] gen_loss 0.2892, rec_loss 0.0357, lpips_loss 0.2128, g_loss 0.0077, disc_weight 0.4000, disc_adaptive_weight 5.2357, d_loss 0.4000, logits_real -0.0072, logits_fake -0.0080,
Train Epoch: [4/5] Iters:[13570/20018] gen_loss 0.2929, rec_loss 0.0356, lpips_loss 0.2126, g_loss 0.0081, disc_weight 0.4000, disc_adaptive_weight 5.4452, d_loss 0.4000, logits_real -0.0078, logits_fake -0.0085,
Train Epoch: [4/5] Iters:[13580/20018] gen_loss 0.2961, rec_loss 0.0360, lpips_loss 0.2133, g_loss 0.0087, disc_weight 0.4000, disc_adaptive_weight 5.3964, d_loss 0.4001, logits_real -0.0085, logits_fake -0.0089,
Train Epoch: [4/5] Iters:[13590/20018] gen_loss 0.2983, rec_loss 0.0360, lpips_loss 0.2131, g_loss 0.0091, disc_weight 0.4000, disc_adaptive_weight 5.4509, d_loss 0.4001, logits_real -0.0088, logits_fake -0.0092,
Train Epoch: [4/5] Iters:[13600/20018] gen_loss 0.2974, rec_loss 0.0356, lpips_loss 0.2137, g_loss 0.0091, disc_weight 0.4000, disc_adaptive_weight 5.3173, d_loss 0.4001, logits_real -0.0090, logits_fake -0.0091,
Train Epoch: [4/5] Iters:[13610/20018] gen_loss 0.2933, rec_loss 0.0345, lpips_loss 0.2119, g_loss 0.0090, disc_weight 0.4000, disc_adaptive_weight 5.3007, d_loss 0.4001, logits_real -0.0089, logits_fake -0.0090,
Train Epoch: [4/5] Iters:[13620/20018] gen_loss 0.2926, rec_loss 0.0350, lpips_loss 0.2130, g_loss 0.0085, disc_weight 0.4000, disc_adaptive_weight 5.3380, d_loss 0.4002, logits_real -0.0085, logits_fake -0.0085,
Train Epoch: [4/5] Iters:[13630/20018] gen_loss 0.2907, rec_loss 0.0351, lpips_loss 0.2137, g_loss 0.0078, disc_weight 0.4000, disc_adaptive_weight 5.3970, d_loss 0.4001, logits_real -0.0077, logits_fake -0.0079,
Train Epoch: [4/5] Iters:[13640/20018] gen_loss 0.2885, rec_loss 0.0345, lpips_loss 0.2135, g_loss 0.0076, disc_weight 0.4000, disc_adaptive_weight 5.3776, d_loss 0.4001, logits_real -0.0074, logits_fake -0.0075,
Train Epoch: [4/5] Iters:[13650/20018] gen_loss 0.2876, rec_loss 0.0344, lpips_loss 0.2136, g_loss 0.0075, disc_weight 0.4000, disc_adaptive_weight 5.3335, d_loss 0.4001, logits_real -0.0072, logits_fake -0.0073,
Train Epoch: [4/5] Iters:[13660/20018] gen_loss 0.2865, rec_loss 0.0347, lpips_loss 0.2143, g_loss 0.0073, disc_weight 0.4000, disc_adaptive_weight 5.0851, d_loss 0.4001, logits_real -0.0070, logits_fake -0.0072,
Train Epoch: [4/5] Iters:[13670/20018] gen_loss 0.2836, rec_loss 0.0344, lpips_loss 0.2139, g_loss 0.0072, disc_weight 0.4000, disc_adaptive_weight 4.8600, d_loss 0.4001, logits_real -0.0067, logits_fake -0.0070,
Train Epoch: [4/5] Iters:[13680/20018] gen_loss 0.2850, rec_loss 0.0345, lpips_loss 0.2141, g_loss 0.0072, disc_weight 0.4000, disc_adaptive_weight 5.0967, d_loss 0.4001, logits_real -0.0066, logits_fake -0.0069,
Train Epoch: [4/5] Iters:[13690/20018] gen_loss 0.2866, rec_loss 0.0351, lpips_loss 0.2155, g_loss 0.0070, disc_weight 0.4000, disc_adaptive_weight 5.0951, d_loss 0.4001, logits_real -0.0067, logits_fake -0.0071,
Train Epoch: [4/5] Iters:[13700/20018] gen_loss 0.2880, rec_loss 0.0351, lpips_loss 0.2159, g_loss 0.0071, disc_weight 0.4000, disc_adaptive_weight 5.2082, d_loss 0.4001, logits_real -0.0068, logits_fake -0.0072,
Train Epoch: [4/5] Iters:[13710/20018] gen_loss 0.2872, rec_loss 0.0343, lpips_loss 0.2147, g_loss 0.0071, disc_weight 0.4000, disc_adaptive_weight 5.3614, d_loss 0.4001, logits_real -0.0069, logits_fake -0.0073,
Train Epoch: [4/5] Iters:[13720/20018] gen_loss 0.2878, rec_loss 0.0353, lpips_loss 0.2148, g_loss 0.0070, disc_weight 0.4000, disc_adaptive_weight 5.4060, d_loss 0.4001, logits_real -0.0070, logits_fake -0.0073,
Train Epoch: [4/5] Iters:[13730/20018] gen_loss 0.2856, rec_loss 0.0347, lpips_loss 0.2133, g_loss 0.0069, disc_weight 0.4000, disc_adaptive_weight 5.4027, d_loss 0.4001, logits_real -0.0070, logits_fake -0.0073,
Train Epoch: [4/5] Iters:[13740/20018] gen_loss 0.2839, rec_loss 0.0344, lpips_loss 0.2128, g_loss 0.0067, disc_weight 0.4000, disc_adaptive_weight 5.4223, d_loss 0.4001, logits_real -0.0068, logits_fake -0.0069,
Train Epoch: [4/5] Iters:[13750/20018] gen_loss 0.2809, rec_loss 0.0343, lpips_loss 0.2122, g_loss 0.0065, disc_weight 0.4000, disc_adaptive_weight 5.2827, d_loss 0.4001, logits_real -0.0065, logits_fake -0.0067,
Train Epoch: [4/5] Iters:[13760/20018] gen_loss 0.2803, rec_loss 0.0348, lpips_loss 0.2131, g_loss 0.0064, disc_weight 0.4000, disc_adaptive_weight 5.0602, d_loss 0.4001, logits_real -0.0063, logits_fake -0.0065,
Train Epoch: [4/5] Iters:[13770/20018] gen_loss 0.2786, rec_loss 0.0334, lpips_loss 0.2118, g_loss 0.0068, disc_weight 0.4000, disc_adaptive_weight 4.9691, d_loss 0.4000, logits_real -0.0063, logits_fake -0.0069,
Train Epoch: [4/5] Iters:[13780/20018] gen_loss 0.2785, rec_loss 0.0341, lpips_loss 0.2128, g_loss 0.0068, disc_weight 0.4000, disc_adaptive_weight 4.6773, d_loss 0.4000, logits_real -0.0065, logits_fake -0.0071,
Train Epoch: [4/5] Iters:[13790/20018] gen_loss 0.2780, rec_loss 0.0340, lpips_loss 0.2114, g_loss 0.0071, disc_weight 0.4000, disc_adaptive_weight 4.6056, d_loss 0.4001, logits_real -0.0068, logits_fake -0.0074,
Train Epoch: [4/5] Iters:[13800/20018] gen_loss 0.2803, rec_loss 0.0338, lpips_loss 0.2118, g_loss 0.0077, disc_weight 0.4000, disc_adaptive_weight 4.5412, d_loss 0.4001, logits_real -0.0073, logits_fake -0.0079,
Train Epoch: [4/5] Iters:[13810/20018] gen_loss 0.2822, rec_loss 0.0337, lpips_loss 0.2113, g_loss 0.0080, disc_weight 0.4000, disc_adaptive_weight 4.6722, d_loss 0.4001, logits_real -0.0077, logits_fake -0.0082,
Train Epoch: [4/5] Iters:[13820/20018] gen_loss 0.2837, rec_loss 0.0340, lpips_loss 0.2122, g_loss 0.0079, disc_weight 0.4000, disc_adaptive_weight 4.7705, d_loss 0.4002, logits_real -0.0080, logits_fake -0.0081,
Train Epoch: [4/5] Iters:[13830/20018] gen_loss 0.2846, rec_loss 0.0335, lpips_loss 0.2115, g_loss 0.0081, disc_weight 0.4000, disc_adaptive_weight 4.8960, d_loss 0.4002, logits_real -0.0080, logits_fake -0.0081,
Train Epoch: [4/5] Iters:[13840/20018] gen_loss 0.2874, rec_loss 0.0337, lpips_loss 0.2128, g_loss 0.0081, disc_weight 0.4000, disc_adaptive_weight 5.1085, d_loss 0.4002, logits_real -0.0079, logits_fake -0.0079,
Train Epoch: [4/5] Iters:[13850/20018] gen_loss 0.2880, rec_loss 0.0343, lpips_loss 0.2135, g_loss 0.0077, disc_weight 0.4000, disc_adaptive_weight 5.2067, d_loss 0.4002, logits_real -0.0075, logits_fake -0.0076,
Train Epoch: [4/5] Iters:[13860/20018] gen_loss 0.2877, rec_loss 0.0346, lpips_loss 0.2141, g_loss 0.0075, disc_weight 0.4000, disc_adaptive_weight 5.1894, d_loss 0.4002, logits_real -0.0073, logits_fake -0.0074,
Train Epoch: [4/5] Iters:[13870/20018] gen_loss 0.2850, rec_loss 0.0343, lpips_loss 0.2128, g_loss 0.0073, disc_weight 0.4000, disc_adaptive_weight 5.1683, d_loss 0.4001, logits_real -0.0068, logits_fake -0.0069,
Train Epoch: [4/5] Iters:[13880/20018] gen_loss 0.2842, rec_loss 0.0348, lpips_loss 0.2138, g_loss 0.0069, disc_weight 0.4000, disc_adaptive_weight 5.1982, d_loss 0.4001, logits_real -0.0064, logits_fake -0.0065,
Train Epoch: [4/5] Iters:[13890/20018] gen_loss 0.2822, rec_loss 0.0348, lpips_loss 0.2132, g_loss 0.0066, disc_weight 0.4000, disc_adaptive_weight 5.1988, d_loss 0.4001, logits_real -0.0062, logits_fake -0.0064,
Train Epoch: [4/5] Iters:[13900/20018] gen_loss 0.2804, rec_loss 0.0341, lpips_loss 0.2120, g_loss 0.0065, disc_weight 0.4000, disc_adaptive_weight 5.3124, d_loss 0.4001, logits_real -0.0060, logits_fake -0.0063,
Train Epoch: [4/5] Iters:[13910/20018] gen_loss 0.2786, rec_loss 0.0336, lpips_loss 0.2122, g_loss 0.0064, disc_weight 0.4000, disc_adaptive_weight 5.1629, d_loss 0.4001, logits_real -0.0058, logits_fake -0.0064,
Train Epoch: [4/5] Iters:[13920/20018] gen_loss 0.2809, rec_loss 0.0342, lpips_loss 0.2138, g_loss 0.0065, disc_weight 0.4000, disc_adaptive_weight 5.1295, d_loss 0.4000, logits_real -0.0059, logits_fake -0.0066,
Train Epoch: [4/5] Iters:[13930/20018] gen_loss 0.2799, rec_loss 0.0340, lpips_loss 0.2138, g_loss 0.0066, disc_weight 0.4000, disc_adaptive_weight 4.9070, d_loss 0.4000, logits_real -0.0062, logits_fake -0.0069,
Train Epoch: [4/5] Iters:[13940/20018] gen_loss 0.2800, rec_loss 0.0338, lpips_loss 0.2139, g_loss 0.0068, disc_weight 0.4000, disc_adaptive_weight 4.7697, d_loss 0.4000, logits_real -0.0065, logits_fake -0.0071,
Train Epoch: [4/5] Iters:[13950/20018] gen_loss 0.2803, rec_loss 0.0338, lpips_loss 0.2146, g_loss 0.0070, disc_weight 0.4000, disc_adaptive_weight 4.5739, d_loss 0.4000, logits_real -0.0066, logits_fake -0.0072,
Train Epoch: [4/5] Iters:[13960/20018] gen_loss 0.2816, rec_loss 0.0341, lpips_loss 0.2137, g_loss 0.0073, disc_weight 0.4000, disc_adaptive_weight 4.6036, d_loss 0.4001, logits_real -0.0069, logits_fake -0.0074,
Train Epoch: [4/5] Iters:[13970/20018] gen_loss 0.2825, rec_loss 0.0341, lpips_loss 0.2124, g_loss 0.0075, disc_weight 0.4000, disc_adaptive_weight 4.7743, d_loss 0.4001, logits_real -0.0070, logits_fake -0.0075,
Train Epoch: [4/5] Iters:[13980/20018] gen_loss 0.2811, rec_loss 0.0337, lpips_loss 0.2114, g_loss 0.0076, disc_weight 0.4000, disc_adaptive_weight 4.7234, d_loss 0.4001, logits_real -0.0069, logits_fake -0.0073,
Train Epoch: [4/5] Iters:[13990/20018] gen_loss 0.2823, rec_loss 0.0339, lpips_loss 0.2115, g_loss 0.0076, disc_weight 0.4000, disc_adaptive_weight 4.8415, d_loss 0.4001, logits_real -0.0067, logits_fake -0.0072,
Train Epoch: [4/5] Iters:[14000/20018] gen_loss 0.2808, rec_loss 0.0339, lpips_loss 0.2105, g_loss 0.0075, disc_weight 0.4000, disc_adaptive_weight 4.8460, d_loss 0.4001, logits_real -0.0068, logits_fake -0.0073,
Train Epoch: [4/5] Iters:[14010/20018] gen_loss 0.2816, rec_loss 0.0339, lpips_loss 0.2112, g_loss 0.0072, disc_weight 0.4000, disc_adaptive_weight 5.0447, d_loss 0.4001, logits_real -0.0067, logits_fake -0.0072,
Train Epoch: [4/5] Iters:[14020/20018] gen_loss 0.2803, rec_loss 0.0339, lpips_loss 0.2124, g_loss 0.0071, disc_weight 0.4000, disc_adaptive_weight 4.7647, d_loss 0.4001, logits_real -0.0066, logits_fake -0.0072,
Train Epoch: [4/5] Iters:[14030/20018] gen_loss 0.2804, rec_loss 0.0336, lpips_loss 0.2123, g_loss 0.0073, disc_weight 0.4000, disc_adaptive_weight 4.7082, d_loss 0.4001, logits_real -0.0068, logits_fake -0.0074,
Train Epoch: [4/5] Iters:[14040/20018] gen_loss 0.2781, rec_loss 0.0333, lpips_loss 0.2119, g_loss 0.0073, disc_weight 0.4000, disc_adaptive_weight 4.5250, d_loss 0.4000, logits_real -0.0069, logits_fake -0.0076,
Train Epoch: [4/5] Iters:[14050/20018] gen_loss 0.2796, rec_loss 0.0341, lpips_loss 0.2128, g_loss 0.0071, disc_weight 0.4000, disc_adaptive_weight 4.6096, d_loss 0.4001, logits_real -0.0067, logits_fake -0.0073,
Train Epoch: [4/5] Iters:[14060/20018] gen_loss 0.2801, rec_loss 0.0346, lpips_loss 0.2135, g_loss 0.0071, disc_weight 0.4000, disc_adaptive_weight 4.5238, d_loss 0.4001, logits_real -0.0067, logits_fake -0.0072,
Train Epoch: [4/5] Iters:[14070/20018] gen_loss 0.2796, rec_loss 0.0344, lpips_loss 0.2126, g_loss 0.0069, disc_weight 0.4000, disc_adaptive_weight 4.6953, d_loss 0.4001, logits_real -0.0066, logits_fake -0.0072,
Train Epoch: [4/5] Iters:[14080/20018] gen_loss 0.2817, rec_loss 0.0347, lpips_loss 0.2129, g_loss 0.0069, disc_weight 0.4000, disc_adaptive_weight 4.9297, d_loss 0.4000, logits_real -0.0063, logits_fake -0.0072,
Train Epoch: [4/5] Iters:[14090/20018] gen_loss 0.2835, rec_loss 0.0351, lpips_loss 0.2139, g_loss 0.0070, disc_weight 0.4000, disc_adaptive_weight 4.9046, d_loss 0.4000, logits_real -0.0064, logits_fake -0.0072,
Train Epoch: [4/5] Iters:[14100/20018] gen_loss 0.2848, rec_loss 0.0347, lpips_loss 0.2148, g_loss 0.0073, disc_weight 0.4000, disc_adaptive_weight 4.8122, d_loss 0.4000, logits_real -0.0065, logits_fake -0.0075,
Train Epoch: [4/5] Iters:[14110/20018] gen_loss 0.2866, rec_loss 0.0346, lpips_loss 0.2147, g_loss 0.0077, disc_weight 0.4000, disc_adaptive_weight 4.8522, d_loss 0.4000, logits_real -0.0068, logits_fake -0.0077,
Train Epoch: [4/5] Iters:[14120/20018] gen_loss 0.2877, rec_loss 0.0344, lpips_loss 0.2139, g_loss 0.0080, disc_weight 0.4000, disc_adaptive_weight 4.8482, d_loss 0.4001, logits_real -0.0073, logits_fake -0.0080,
Train Epoch: [4/5] Iters:[14130/20018] gen_loss 0.2887, rec_loss 0.0343, lpips_loss 0.2141, g_loss 0.0081, disc_weight 0.4000, disc_adaptive_weight 4.9177, d_loss 0.4001, logits_real -0.0078, logits_fake -0.0081,
Train Epoch: [4/5] Iters:[14140/20018] gen_loss 0.2877, rec_loss 0.0342, lpips_loss 0.2127, g_loss 0.0081, disc_weight 0.4000, disc_adaptive_weight 4.9807, d_loss 0.4001, logits_real -0.0077, logits_fake -0.0082,
Train Epoch: [4/5] Iters:[14150/20018] gen_loss 0.2865, rec_loss 0.0342, lpips_loss 0.2115, g_loss 0.0079, disc_weight 0.4000, disc_adaptive_weight 5.0800, d_loss 0.4001, logits_real -0.0077, logits_fake -0.0080,
Train Epoch: [4/5] Iters:[14160/20018] gen_loss 0.2831, rec_loss 0.0344, lpips_loss 0.2116, g_loss 0.0073, disc_weight 0.4000, disc_adaptive_weight 4.9830, d_loss 0.4001, logits_real -0.0073, logits_fake -0.0076,
Train Epoch: [4/5] Iters:[14170/20018] gen_loss 0.2830, rec_loss 0.0347, lpips_loss 0.2125, g_loss 0.0071, disc_weight 0.4000, disc_adaptive_weight 5.0108, d_loss 0.4001, logits_real -0.0070, logits_fake -0.0073,
Train Epoch: [4/5] Iters:[14180/20018] gen_loss 0.2825, rec_loss 0.0354, lpips_loss 0.2131, g_loss 0.0067, disc_weight 0.4000, disc_adaptive_weight 5.0056, d_loss 0.4001, logits_real -0.0065, logits_fake -0.0068,
Train Epoch: [4/5] Iters:[14190/20018] gen_loss 0.2822, rec_loss 0.0356, lpips_loss 0.2131, g_loss 0.0066, disc_weight 0.4000, disc_adaptive_weight 5.0003, d_loss 0.4002, logits_real -0.0065, logits_fake -0.0066,
Train Epoch: [4/5] Iters:[14200/20018] gen_loss 0.2810, rec_loss 0.0356, lpips_loss 0.2129, g_loss 0.0065, disc_weight 0.4000, disc_adaptive_weight 4.9459, d_loss 0.4001, logits_real -0.0064, logits_fake -0.0066,
Train Epoch: [4/5] Iters:[14210/20018] gen_loss 0.2823, rec_loss 0.0355, lpips_loss 0.2131, g_loss 0.0066, disc_weight 0.4000, disc_adaptive_weight 5.0552, d_loss 0.4001, logits_real -0.0064, logits_fake -0.0066,
Train Epoch: [4/5] Iters:[14220/20018] gen_loss 0.2825, rec_loss 0.0354, lpips_loss 0.2135, g_loss 0.0065, disc_weight 0.4000, disc_adaptive_weight 5.0875, d_loss 0.4001, logits_real -0.0065, logits_fake -0.0068,
Train Epoch: [4/5] Iters:[14230/20018] gen_loss 0.2836, rec_loss 0.0351, lpips_loss 0.2138, g_loss 0.0069, disc_weight 0.4000, disc_adaptive_weight 4.9720, d_loss 0.4001, logits_real -0.0067, logits_fake -0.0072,
Train Epoch: [4/5] Iters:[14240/20018] gen_loss 0.2842, rec_loss 0.0345, lpips_loss 0.2155, g_loss 0.0070, disc_weight 0.4000, disc_adaptive_weight 4.8692, d_loss 0.4001, logits_real -0.0070, logits_fake -0.0074,
Train Epoch: [4/5] Iters:[14250/20018] gen_loss 0.2860, rec_loss 0.0345, lpips_loss 0.2158, g_loss 0.0072, disc_weight 0.4000, disc_adaptive_weight 4.9519, d_loss 0.4001, logits_real -0.0072, logits_fake -0.0074,
Train Epoch: [4/5] Iters:[14260/20018] gen_loss 0.2838, rec_loss 0.0343, lpips_loss 0.2143, g_loss 0.0072, disc_weight 0.4000, disc_adaptive_weight 4.8417, d_loss 0.4001, logits_real -0.0072, logits_fake -0.0076,
Train Epoch: [4/5] Iters:[14270/20018] gen_loss 0.2825, rec_loss 0.0345, lpips_loss 0.2142, g_loss 0.0072, disc_weight 0.4000, disc_adaptive_weight 4.6531, d_loss 0.4001, logits_real -0.0069, logits_fake -0.0072,
Train Epoch: [4/5] Iters:[14280/20018] gen_loss 0.2799, rec_loss 0.0347, lpips_loss 0.2127, g_loss 0.0069, disc_weight 0.4000, disc_adaptive_weight 4.6874, d_loss 0.4002, logits_real -0.0069, logits_fake -0.0068,
Train Epoch: [4/5] Iters:[14290/20018] gen_loss 0.2776, rec_loss 0.0348, lpips_loss 0.2100, g_loss 0.0067, disc_weight 0.4000, disc_adaptive_weight 4.8698, d_loss 0.4002, logits_real -0.0066, logits_fake -0.0065,
Train Epoch: [4/5] Iters:[14300/20018] gen_loss 0.2780, rec_loss 0.0346, lpips_loss 0.2104, g_loss 0.0067, disc_weight 0.4000, disc_adaptive_weight 4.9479, d_loss 0.4002, logits_real -0.0065, logits_fake -0.0065,
Train Epoch: [4/5] Iters:[14310/20018] gen_loss 0.2768, rec_loss 0.0346, lpips_loss 0.2110, g_loss 0.0064, disc_weight 0.4000, disc_adaptive_weight 4.8687, d_loss 0.4002, logits_real -0.0059, logits_fake -0.0060,
Train Epoch: [4/5] Iters:[14320/20018] gen_loss 0.2770, rec_loss 0.0343, lpips_loss 0.2110, g_loss 0.0062, disc_weight 0.4000, disc_adaptive_weight 5.0464, d_loss 0.4001, logits_real -0.0058, logits_fake -0.0060,
Train Epoch: [4/5] Iters:[14330/20018] gen_loss 0.2785, rec_loss 0.0343, lpips_loss 0.2115, g_loss 0.0062, disc_weight 0.4000, disc_adaptive_weight 5.2140, d_loss 0.4001, logits_real -0.0055, logits_fake -0.0061,
Train Epoch: [4/5] Iters:[14340/20018] gen_loss 0.2798, rec_loss 0.0344, lpips_loss 0.2134, g_loss 0.0060, disc_weight 0.4000, disc_adaptive_weight 5.2697, d_loss 0.4001, logits_real -0.0055, logits_fake -0.0057,
Train Epoch: [4/5] Iters:[14350/20018] gen_loss 0.2772, rec_loss 0.0346, lpips_loss 0.2132, g_loss 0.0058, disc_weight 0.4000, disc_adaptive_weight 4.9807, d_loss 0.4001, logits_real -0.0054, logits_fake -0.0057,
Train Epoch: [4/5] Iters:[14360/20018] gen_loss 0.2783, rec_loss 0.0344, lpips_loss 0.2132, g_loss 0.0061, disc_weight 0.4000, disc_adaptive_weight 5.0018, d_loss 0.4001, logits_real -0.0056, logits_fake -0.0057,
Train Epoch: [4/5] Iters:[14370/20018] gen_loss 0.2777, rec_loss 0.0343, lpips_loss 0.2126, g_loss 0.0061, disc_weight 0.4000, disc_adaptive_weight 4.9366, d_loss 0.4001, logits_real -0.0057, logits_fake -0.0058,
Train Epoch: [4/5] Iters:[14380/20018] gen_loss 0.2779, rec_loss 0.0342, lpips_loss 0.2137, g_loss 0.0061, disc_weight 0.4000, disc_adaptive_weight 4.7959, d_loss 0.4001, logits_real -0.0056, logits_fake -0.0059,
Train Epoch: [4/5] Iters:[14390/20018] gen_loss 0.2758, rec_loss 0.0340, lpips_loss 0.2129, g_loss 0.0061, disc_weight 0.4000, disc_adaptive_weight 4.5944, d_loss 0.4000, logits_real -0.0054, logits_fake -0.0061,
Train Epoch: [4/5] Iters:[14400/20018] gen_loss 0.2766, rec_loss 0.0340, lpips_loss 0.2129, g_loss 0.0062, disc_weight 0.4000, disc_adaptive_weight 4.6840, d_loss 0.4000, logits_real -0.0054, logits_fake -0.0060,
